Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,18nF,
"C10, C7",890324026027CS,2,1UF,
C12,0603,1,0.1UF,
C13,0603,1,43pF,
C14,0603,1,27nF,
C15,ALC80A271EB450,1,270UF,
C16,C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4,1,10nF,
"C17, C18, C19, C20, C25, C26",0805,6,1UF,
"C21, C22, C23, C24",EKZN630ELL681MK30S,4,680UF,
C27,0603,1,200pF,
C3,0603,1,100pF,
C4,0603,1,100nF,
C5,0603,1,10uF,
C6,C_Radial_D6.3mm_H11.0mm_P2.50mm,1,68UF,
"C8, C9",C_Disc_D10.5mm_W5.0mm_P5.00mm,2,4700PF,
D1,TO-220-3_Vertical,1,STPS30SM100ST,
D2,D_SOD-523,1,RB520SM-40T2R ,
"D3, D4",D_SMA,2,VS-2EMH01HM3/5AT ,
D5,D_SOD-123F,1,MMSZ5240B,
D6,Diode_Bridge_Vishay_GBU,1,GBU8K-E3/45,
D7,D_SMB,1,S3MB-13-F,
F1,38211000410,1,38212000000,
FL1,744869161153,1,744869161153,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,4,MountingHole_Pad,
HS1,WV-T247-101E,1,WV-T247-101E,
J1,JST_VH_B2P3-VH_1x02_P7.92mm_Vertical,1,B2P3-VH(LF)(SN),
J2,JST_VH_B4P-VH-B_1x04_P3.96mm_Vertical,1,B4P-VH(LF)(SN),
L1,744750340047,1,4.7UH,
Q1,TO-247-3_Vertical,1,IXFH20N100P,
R1,0805,1,16.3K,
R11,1206,1,20,
R12,0603,1,86.6k,
R13,0603,1,31.875k,
"R15, R16",0603,2,1K,
R17,0603,1,93.1k,
R18,0603,1,649,
R19,0603,1,35.7k,
R2,0603,1,4.7,
R20,0603,1,4.12k,
"R21, R22, R23, R24, R25, R26",2512,6,20k,
R3,0603,1,1.33k,
"R4, R6, R8",1206,3,680K,
R5,0805,1,10k,
R7,2512,1,0.25,
RV1,RV_Disc_D16.5mm_W6.7mm_P7.5mm,1,V14E320P,
SW1,NE1846EE,1,"NE18 2A EE 6AMP
",
TH1,RV_Disc_D9mm_W6.1mm_P5mm,1,B57235S0509M000,
TR1,750342946,1,750342946,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,UCC28600,
U2,DIP-6_W7.62mm_LongPads,1,CNY17-1,
U3,SOT-23,1,TL431DBZ,
