Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
HS_M1,Aavid,529802B02500G,1,6.16,1203.13,ThetaSA: 8.41 C/W  Height: 1.5 mm  HeatSink_Power: 20 W  
Rfbt,Vishay-Dale,CRCW040235K7FKED,1,0.01,3,Resistance: 35.7 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cvdd1,TDK,CGA3E2X7R1H104K080AA,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 50 V  ESR: 29.6 mΩ  Package: 0603  
Rsnub12,Vishay-Bccomponents,PR01000106201JR500,1,0.03,89.1,Resistance: 6.2 kΩ  Tolerance: 5.0%  Power: 1 W  
Ccomp,MuRata,GRM155R71A393KA01D,1,0.01,3,Cap: 39 nF  Total Derated Cap: 39 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0402  
Rbias,Vishay-Dale,CRCW04021K00FKED,1,0.01,3,Resistance: 1 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rled,Yageo,RC0201FR-0710KL,1,0.01,2.08,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  
Cin,Rubycon,450HXG180MEFCSN22X45,3,3.23,576,Cap: 180 µF  Total Derated Cap: 540 µF  VDC: 450 V  ESR: 1.48 Ω  Package: 22x45mm  
Rs2,Yageo,RC1206FR-072M2L,1,0.01,10.92,Resistance: 2.2 MΩ  Tolerance: 1.0%  Power: 250 mW  
Dac,Vishay-Semiconductor,GBU4K-E3/45,1,1.03,130.59,Type: Switching-Bridge  VRRM: 800 V  Io: 4 A  
Rg,Yageo,RC1206FR-074R7L,1,0.02,10.92,Resistance: 4.7 Ω  Tolerance: 1.0%  Power: 250 mW  
Dvdd,Toshiba,CMS06,1,0.2,19.38,Type: Schottky  VRRM: 30 V  Io: 2 A  
Csnub,TDK,CGA2B3X7S2A682K050BB,4,0.01,3,Cap: 6.8 nF  Total Derated Cap: 6.8 nF  VDC: 100 V  ESR: 523.22 mΩ  Package: 0402  
Rs3,Yageo,RC1206FR-072M2L,1,0.01,10.92,Resistance: 2.2 MΩ  Tolerance: 1.0%  Power: 250 mW  
Cout,Panasonic,EEHZA1H101P,3,1.43,159.9,Cap: 100 µF  Total Derated Cap: 300 µF  VDC: 50 V  ESR: 28 mΩ  Package: 10x10.2  
Ccsf,Kemet,C0201C101K3GACTU,1,0.01,2.08,Cap: 100 pF  Total Derated Cap: 100 pF  VDC: 10 V  ESR: 0 Ω  Package: 0201  
Rsnub2,Vishay-Dale,CRCW080516R9FKEA,1,0.01,6.75,Resistance: 16.9 Ω  Tolerance: 1.0%  Power: 125 mW  
Rs1,Yageo,RC1206FR-072M2L,1,0.01,10.92,Resistance: 2.2 MΩ  Tolerance: 1.0%  Power: 250 mW  
U1,Texas Instruments,UCC28600DR,1,0.339,56.58,
Caux,Nichicon,UUD1V470MCL1GS,1,0.13,79.98,Cap: 47 µF  Total Derated Cap: 47 µF  VDC: 35 V  ESR: 440 mΩ  Package: 6.3x5.8  
Dg,Toshiba,CMS06,1,0.2,19.38,Type: Schottky  VRRM: 30 V  Io: 2 A  
Dcs,Toshiba,CMS06,1,0.2,19.38,Type: Schottky  VRRM: 30 V  Io: 2 A  
VR,Texas Instruments,TL431IDBVR,1,0.087,16.39,IkMin: 400 mA  InitialAccuracy: 1.5%  ReferenceOutput: 2.5 V  
Rfbb,Vishay-Dale,CRCW04024K12FKED,1,0.01,3,Resistance: 4.12 kΩ  Tolerance: 1.0%  Power: 63 mW  
T1,Core=Wurth Elektronik   CoilFormer=Wurth Elektronik,Core=150-2171   CoilFormer=070-5783,1,0,1771,Core Type: ERL35  Core Material: TP4A  Turns Ratio(Nps): 26:12  
O1,Vishay-Semiconductor,TCMT1107,1,0.19,43.65,CTR_Min: 80.0%  CTR_Max: 160.0%  IcMax: 50 mmA  
Rsnub11,Vishay-Bccomponents,PR01000106201JR500,1,0.03,89.1,Resistance: 6.2 kΩ  Tolerance: 5.0%  Power: 1 W  
Dsnub,Bourns,CD214C-F3600,1,0.2301,83.27,Type: Ultrafast  VRRM: 600 V  Io: 3 A  
Rstatus,Vishay-Dale,CRCW0402210KFKED,1,0.01,3,Resistance: 210 kΩ  Tolerance: 1.0%  Power: 63 mW  
Dsec2,CUSTOM,CUSTOM,1,0,0,Type: ?  VRRM: 244.62 V  Io: 10 A  
Cfb,MuRata,GRM033R71C151KA01D,1,0.01,2.08,Cap: 150 pF  Total Derated Cap: 150 pF  VDC: 16 V  ESR: 1 mΩ  Package: 0201  
Daux,SMC Diode Solutions,ST1300ATR,1,0.12,37.34,Type: Schottky  VRRM: 300 V  Io: 1 A  
M1,Infineon Technologies,SPA20N65C3XKSA1,1,4.95,79.3,VdsMax: 650 V  IdsMax: 20.7 Amps  
Rcs,Bourns,CRM2010-FZ-R090ELF,1,0.2,31.5,Resistance: 90 mΩ  Tolerance: 1.0%  Power: 1 W  
Rovp1,Vishay-Dale,CRCW0805261KFKEA,1,0.01,6.75,Resistance: 261 kΩ  Tolerance: 1.0%  Power: 125 mW  
Cout1,TDK,C3216X5R1H106K160AB,1,0.24,10.92,Cap: 10 µF  Total Derated Cap: 10 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1206_180  
Css,MuRata,GRM033R71A682KA01D,1,0.01,2.08,Cap: 6.8 nF  Total Derated Cap: 6.8 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0201  
Dsec1,CUSTOM,CUSTOM,1,0,0,Type: ?  VRRM: 244.62 V  Io: 10 A  
Rovp2,Yageo,RC0201FR-7D68K1L,1,0.01,2.08,Resistance: 68.1 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rvdd,Vishay-Dale,CRCW04024R99FKED,1,0.01,3,Resistance: 4.99 Ω  Tolerance: 1.0%  Power: 63 mW  
Cvdd,Panasonic,25TQC15MV,1,1.04,58.59,Cap: 15 µF  Total Derated Cap: 15 µF  VDC: 25 V  ESR: 45 mΩ  Package: 7343-20  
Rcsf,Vishay-Dale,CRCW04021K96FKED,1,0.01,3,Resistance: 1.96 kΩ  Tolerance: 1.0%  Power: 63 mW  
Creg,Taiyo Yuden,EMK107B7105KA-T,1,0.01,4.68,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 16 V  ESR: 1 mΩ  Package: 0603  
Rreg,Yageo,RC0201FR-0712K1L,1,0.01,2.08,Resistance: 12.1 kΩ  Tolerance: 1.0%  Power: 50 mW  
Dreg,Diodes Inc.,SMBJ5.0A-13-F,1,0.1,44.16,Type: SMT  VRWM: 5 V  
