Designator,Mid X,Mid Y,Rotation,Layer
C1,59.88,43.965,270.0,bottom
C10,55.5,98.75,270.0,top
C12,73.66,32.512,270.0,top
C13,75.438,40.894,90.0,top
C14,77.216,40.894,90.0,top
C15,61.5,68.843063,270.0,top
C16,36.402,81.534,0.0,top
C17,41.148,8.128,90.0,bottom
C18,43.18,8.128,270.0,bottom
C19,37.084,8.128,90.0,bottom
C20,39.116,8.128,270.0,bottom
C21,33.528,5.0,90.0,top
C22,47.752,5.233541,90.0,top
C23,59.69,19.13,90.0,top
C24,74.93,19.13,90.0,top
C25,62.484,10.16,0.0,bottom
C26,62.484,8.128,180.0,bottom
C27,58.38,43.965,90.0,bottom
C3,56.88,43.965,270.0,bottom
C4,52.905,41.665,0.0,bottom
C5,52.905,40.065,0.0,bottom
C6,45.994,37.866,0.0,top
C7,26.5,98.25,270.0,top
C8,24.0,116.5,180.0,top
C9,13.0,111.0,90.0,top
D1,20.54,8.0,180.0,top
D2,30.988,54.356,90.0,bottom
D3,32.7,39.354,180.0,bottom
D4,19.304,39.354,180.0,bottom
D5,75.438,29.718,180.0,top
D6,71.5,88.34,90.0,top
D7,26.162,70.358,180.0,bottom
F1,7.2,87.0,90.0,top
FL1,36.0,90.25,270.0,top
H1,5.0,115.0,180.0,bottom
H2,80.0,5.0,0.0,top
H3,5.0,5.0,90.0,top
H4,80.0,115.2,0.0,top
HS1,14.605,58.97555,0.0,top
J1,7.75,79.5,270.0,top
J2,68.96,5.0,180.0,top
L1,45.72,21.59,0.0,top
Q1,29.072,63.574,180.0,top
R1,5.08,56.134,270.0,bottom
R11,25.908,39.354,0.0,bottom
R12,18.288,42.672,180.0,bottom
R13,21.844,42.672,0.0,bottom
R15,75.438,33.782,270.0,top
R16,75.438,37.084,270.0,top
R17,77.216,37.846,270.0,top
R18,78.74,28.956,270.0,top
R19,80.518,28.956,270.0,top
R2,29.464,54.356,270.0,bottom
R20,79.756,31.242,0.0,top
R21,40.386,71.374,180.0,bottom
R22,40.386,59.182,180.0,bottom
R23,40.386,67.31,180.0,bottom
R24,40.386,75.438,180.0,bottom
R25,40.386,55.118,180.0,bottom
R26,40.386,63.246,180.0,bottom
R3,5.08,60.452,270.0,bottom
R4,52.705,57.785,90.0,bottom
R5,27.686,54.356,270.0,bottom
R6,52.705,52.705,90.0,bottom
R7,9.144,58.42,270.0,bottom
R8,52.705,62.865,90.0,bottom
RV1,17.0,87.5,270.0,top
SW1,16.0,100.0,270.0,top
TH1,64.25,98.5,90.0,top
TR1,34.16,48.5,270.0,top
U1,52.28,45.265,180.0,bottom
U2,72.825,35.895,180.0,top
U3,78.232,34.036,90.0,top
